begin,open,close,high,low,value,volume
2024-05-06 09:00:00,308.10 ,308.10 ,308.10 ,308.10 ,"31,789,758 ","103,180 "
2024-05-06 10:00:00,308.08 ,307.64 ,308.09 ,307.03 ,"1,079,006,925 ","3,508,800 "
2024-05-06 11:00:00,307.65 ,306.80 ,307.70 ,306.60 ,"748,304,737 ","2,437,800 "
2024-05-06 12:00:00,306.81 ,306.69 ,307.00 ,306.00 ,"845,919,149 ","2,759,740 "
2024-05-06 13:00:00,306.69 ,306.53 ,307.05 ,306.48 ,"459,986,074 ","1,500,140 "
2024-05-06 14:00:00,306.53 ,306.60 ,306.95 ,306.20 ,"452,193,923 ","1,475,160 "
2024-05-06 15:00:00,306.58 ,306.85 ,307.08 ,306.50 ,"272,159,631 ","887,040 "
2024-05-06 16:00:00,306.86 ,306.47 ,306.89 ,306.24 ,"271,186,418 ","884,680 "
2024-05-06 17:00:00,306.47 ,306.59 ,306.83 ,306.20 ,"441,757,082 ","1,441,550 "
2024-05-06 18:00:00,306.62 ,306.97 ,306.97 ,306.38 ,"439,683,935 ","1,433,010 "
2024-05-06 19:00:00,306.61 ,306.58 ,306.84 ,306.53 ,"103,933,104 ","338,920 "
2024-05-06 20:00:00,306.57 ,306.33 ,306.60 ,306.30 ,"96,808,182 ","315,870 "
2024-05-06 21:00:00,306.32 ,306.17 ,306.40 ,306.01 ,"139,360,236 ","455,090 "
2024-05-06 22:00:00,306.15 ,306.38 ,306.38 ,305.55 ,"402,178,121 ","1,314,460 "
2024-05-06 23:00:00,306.37 ,306.01 ,306.38 ,305.92 ,"106,552,538 ","348,110 "
2024-05-07 09:00:00,306.23 ,306.23 ,306.23 ,306.23 ,"3,148,044 ","10,280 "
2024-05-07 10:00:00,306.25 ,307.25 ,307.61 ,306.21 ,"1,326,101,192 ","4,317,590 "
2024-05-07 11:00:00,307.25 ,307.27 ,307.60 ,306.82 ,"373,436,731 ","1,215,070 "
2024-05-07 12:00:00,307.27 ,307.00 ,307.39 ,306.68 ,"243,837,450 ","794,000 "
2024-05-07 13:00:00,307.00 ,307.10 ,307.35 ,306.97 ,"121,302,823 ","394,890 "
2024-05-07 14:00:00,307.09 ,307.20 ,307.30 ,306.87 ,"188,101,397 ","612,490 "
2024-05-07 15:00:00,307.20 ,307.48 ,307.48 ,307.19 ,"218,628,069 ","711,330 "
2024-05-07 16:00:00,307.48 ,307.99 ,308.00 ,307.47 ,"711,034,359 ","2,310,190 "
2024-05-07 17:00:00,307.98 ,308.14 ,308.15 ,307.94 ,"641,388,722 ","2,081,920 "
2024-05-07 18:00:00,308.14 ,308.39 ,308.39 ,308.00 ,"617,374,254 ","2,002,980 "
2024-05-07 19:00:00,308.39 ,308.47 ,308.87 ,308.32 ,"285,505,143 ","925,380 "
2024-05-07 20:00:00,308.47 ,308.25 ,308.48 ,308.19 ,"146,151,238 ","474,000 "
2024-05-07 21:00:00,308.25 ,308.41 ,308.49 ,308.23 ,"66,940,414 ","217,060 "
2024-05-07 22:00:00,308.42 ,308.39 ,308.50 ,308.38 ,"88,727,896 ","287,630 "
2024-05-07 23:00:00,308.39 ,308.22 ,308.40 ,308.13 ,"80,766,670 ","262,000 "
2024-05-08 09:00:00,308.41 ,308.41 ,308.41 ,308.41 ,"1,856,628 ","6,020 "
2024-05-08 10:00:00,308.41 ,309.51 ,310.07 ,308.08 ,"1,689,611,630 ","5,463,700 "
2024-05-08 11:00:00,309.51 ,311.22 ,311.83 ,309.50 ,"3,429,959,442 ","11,027,080 "
2024-05-08 12:00:00,311.22 ,310.71 ,311.55 ,310.70 ,"1,428,769,335 ","4,591,560 "
2024-05-08 13:00:00,310.72 ,311.26 ,311.28 ,310.20 ,"1,171,096,236 ","3,768,490 "
2024-05-08 14:00:00,311.25 ,311.10 ,311.40 ,310.71 ,"470,828,218 ","1,512,980 "
2024-05-08 15:00:00,311.10 ,311.11 ,311.60 ,311.08 ,"637,376,486 ","2,047,120 "
2024-05-08 16:00:00,311.11 ,311.14 ,311.32 ,310.75 ,"278,560,373 ","895,430 "
