begin,open,close,high,low,value,volume
2025-02-03 06:00:00,280.21,280.21,280.21,280.21,10788084.99999999,38500
2025-02-03 07:00:00,280.21,279.82,280.27,278.59,371919812.59999996,1330910
2025-02-03 08:00:00,279.82,279.74,279.86,279.23,161072100.59999996,576150
2025-02-03 09:00:00,279.74,279.46,280.35,279.36,278827661.8999999,996490
2025-02-03 10:00:00,279.46,278.51,279.65,278.0,1665290682.1999998,5974420
2025-02-03 11:00:00,278.53,279.05,279.4,278.45,1109417473.4999995,3978570
2025-02-03 12:00:00,279.01,279.3,279.35,278.52,424099238.0000002,1520830
2025-02-03 13:00:00,279.31,279.66,279.88,278.67,623049953.2,2229930
2025-02-03 14:00:00,279.67,279.21,279.99,279.14,447125402.1000001,1599510
2025-02-03 15:00:00,279.2,278.38,279.39,278.19,866098038.7000002,3108560
2025-02-03 16:00:00,278.4,279.18,279.71,278.32,329958509.4,1183050
2025-02-03 17:00:00,279.19,278.76,279.2,278.52,228067116.5000001,817580
2025-02-03 18:00:00,278.76,279.22,279.22,278.34,469551570.20000017,1684450
2025-02-03 19:00:00,279.22,279.18,279.22,278.93,126063158.40000002,451710
2025-02-03 20:00:00,279.18,279.48,279.54,278.98,206695677.10000002,740340
2025-02-03 21:00:00,279.48,279.65,280.0,279.39,514662855.4999999,1839710
2025-02-03 22:00:00,279.65,279.86,280.1,279.64,383528051.3999996,1369970
2025-02-03 23:00:00,279.87,279.55,279.9,279.5,260910428.99999994,933080
2025-02-04 06:00:00,279.55,279.55,279.55,279.55,1079063.0,3860
2025-02-04 07:00:00,279.55,280.2,280.63,279.31,128974960.39999996,460160
2025-02-04 08:00:00,280.22,280.29,280.45,280.15,69758532.7,248840
2025-02-04 09:00:00,280.29,280.29,280.38,279.76,188886677.80000004,674290
2025-02-04 10:00:00,280.34,280.65,281.41,279.35,717197174.0000006,2558490
2025-02-04 11:00:00,280.66,279.89,280.8,279.63,446715458.80000013,1594980
2025-02-04 12:00:00,279.88,279.66,280.3,279.66,331841579.2000001,1185520
2025-02-04 13:00:00,279.66,279.12,280.15,279.0,601366255.5999999,2152910
2025-02-04 14:00:00,279.12,279.01,279.47,279.0,422711106.40000004,1514700
2025-02-04 15:00:00,279.01,279.06,279.21,278.55,401081042.19999975,1438620
2025-02-04 16:00:00,279.06,279.08,279.88,278.72,457109630.6999999,1636930
2025-02-04 17:00:00,279.08,278.62,279.09,278.02,651234053.2999998,2338120
2025-02-04 18:00:00,278.57,278.0,278.57,277.54,675470066.6,2430180
2025-02-04 19:00:00,278.0,278.12,278.29,277.66,174774721.19999996,628770
2025-02-04 20:00:00,278.1,278.01,278.36,277.76,93508175.2,336340
2025-02-04 21:00:00,278.01,276.24,278.02,275.7,904600654.9999998,3268370
2025-02-04 22:00:00,276.24,276.79,277.18,276.07,297926804.6,1076630
2025-02-04 23:00:00,276.78,277.4,277.4,276.78,121588696.7,438960
2025-02-05 06:00:00,277.3,277.3,277.3,277.3,2013198.0,7260
2025-02-05 07:00:00,277.3,277.79,278.3,276.78,211257109.50000006,760690
2025-02-05 08:00:00,277.75,277.73,278.0,277.27,127266694.29999997,458190
2025-02-05 09:00:00,277.73,277.27,277.73,277.18,232358216.89999995,837940
2025-02-05 10:00:00,277.27,277.08,277.91,276.7,712551362.7,2570770
2025-02-05 11:00:00,277.09,275.66,277.34,275.59,1048086255.4999993,3793040
2025-02-05 12:00:00,275.72,278.16,278.3,275.34,1342253757.6000001,4848310
2025-02-05 13:00:00,278.16,277.41,278.75,277.01,910763013.3,3275940
2025-02-05 14:00:00,277.41,277.76,278.34,277.02,440722193.0999998,1587250
2025-02-05 15:00:00,277.77,278.0,278.48,277.47,570825387.6000003,2053130
2025-02-05 16:00:00,278.01,278.22,278.36,277.56,342869145.1,1233180
2025-02-05 17:00:00,278.21,279.7,280.0,278.1,1155439623.1999989,4138820
2025-02-05 18:00:00,279.78,280.79,280.79,279.74,996105111.8999995,3553660
2025-02-05 19:00:00,281.0,282.52,283.89,280.92,2112903146.2000024,7484680
2025-02-05 20:00:00,282.54,283.1,283.12,282.0,722238911.3,2556740
2025-02-05 21:00:00,283.1,283.53,283.7,282.67,531904120.9999999,1878620
2025-02-05 22:00:00,283.53,283.09,283.6,283.05,345850037.5999997,1220460
2025-02-05 23:00:00,283.12,282.88,283.26,282.8,229717022.29999998,811730
