TRADEDATE,BOARDID,CLOSE,VOLUME,VALUE
2013-03-25,TQBR,73.35,120300,8950403.0
2013-03-26,TQBR,72.3,209100,15216505.0
2013-03-27,TQBR,72.28,76900,5565246.0
2013-03-28,TQBR,75.12,211700,15626288.0
2013-03-29,TQBR,75.11,91800,6897810.0
2013-04-01,TQBR,75.04,208200,15674954.0
2013-04-02,TQBR,74.62,300500,22505530.0
2013-04-03,TQBR,74.64,211800,15859931.0
2013-04-04,TQBR,74.87,836800,62561762.0
2013-04-05,TQBR,73.57,696800,51584491.0
2013-04-08,TQBR,72.7,216600,15941936.0
2013-04-09,TQBR,73.58,812400,59755089.0
2013-04-10,TQBR,71.42,617100,44118287.0
2013-04-11,TQBR,69.32,751600,53048899.0
2013-04-12,TQBR,69.47,314200,21810505.0
2013-04-15,TQBR,67.77,648600,43770967.0
2013-04-16,TQBR,67.59,450700,30522821.0
2013-04-17,TQBR,67.67,339500,23043544.0
2013-04-18,TQBR,68.39,781400,53616301.0
2013-04-19,TQBR,70.3,434800,30168251.0
2013-04-22,TQBR,69.65,395400,27927208.0
2013-04-23,TQBR,70.05,247000,17168627.0
2013-04-24,TQBR,70.53,191900,13604861.0
2013-04-25,TQBR,70.93,699800,50028238.0
2013-04-26,TQBR,70.32,349600,24535352.0
2013-04-29,TQBR,69.87,190200,13400287.0
2013-04-30,TQBR,72.21,425900,30194514.0
2013-05-02,TQBR,72.24,667800,48144797.0
2013-05-03,TQBR,72.77,468200,33931027.0
2013-05-06,TQBR,73.35,470000,34479082.0
2013-05-07,TQBR,74.73,214300,15832757.0
2013-05-08,TQBR,75.83,147300,11078500.0
2013-05-10,TQBR,75.39,333900,25136048.0
2013-05-13,TQBR,75.81,467100,34992555.0
2013-05-14,TQBR,75.57,523300,39886277.0
2013-05-15,TQBR,75.27,402900,30352100.0
2013-05-16,TQBR,75.16,266800,20044873.0
2013-05-17,TQBR,75.91,313500,23699994.0
2013-05-20,TQBR,77.2,211800,16303415.0
2013-05-21,TQBR,78.13,172000,13286789.0
2013-05-22,TQBR,79.65,114400,9022373.0
2013-05-23,TQBR,76.5,308700,23635495.0
2013-05-24,TQBR,75.54,541100,41058888.0
2013-05-27,TQBR,75.49,348900,26487702.0
2013-05-28,TQBR,77.49,229800,17635191.0
2013-05-29,TQBR,76.08,775200,59169879.0
2013-05-30,TQBR,77.1,2047700,158005643.0
2013-05-31,TQBR,72.2,1540200,114567268.0
2013-06-03,TQBR,72.05,1201800,86268078.0
2013-06-04,TQBR,71.76,237600,17253067.0
2013-06-05,TQBR,70.7,538800,38337534.0
2013-06-06,TQBR,72.12,346300,24493765.0
2013-06-07,TQBR,73.41,310700,22705207.0
2013-06-10,TQBR,73.27,274200,20172502.0
2013-06-11,TQBR,70.59,626300,44817109.0
2013-06-13,TQBR,69.0,483300,33395106.0
2013-06-14,TQBR,70.23,443200,30907571.0
2013-06-17,TQBR,71.61,619300,44227723.0
2013-06-18,TQBR,72.39,760200,55112473.0
2013-06-19,TQBR,71.47,210600,15112968.0
2013-06-20,TQBR,69.19,332500,23036282.0
2013-06-21,TQBR,69.0,325000,22628567.0
2013-06-24,TQBR,67.76,261600,18011234.0
2013-06-25,TQBR,68.07,463100,31757025.0
2013-06-26,TQBR,69.86,457600,31557531.0
2013-06-27,TQBR,69.5,449200,31333684.0
2013-06-28,TQBR,67.36,241800,16980619.0
