,BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
0,TQBR,2024-11-01,237.8,4129140,977659974.2
1,TQBR,2024-11-02,238.8,1805440,430630905.8
2,TQBR,2024-11-05,239.33,2315520,555108151.6
3,TQBR,2024-11-06,244.09,6834460,1678337250.7
4,TQBR,2024-11-07,250.59,2949380,726005150.3
5,TQBR,2024-11-08,256.2,4868970,1230205080.7
6,TQBR,2024-11-11,261.27,4030110,1044782825.7
7,TQBR,2024-11-12,255.55,3272290,842992640.3
8,TQBR,2024-11-13,254.79,3250630,834362457.6
9,TQBR,2024-11-14,249.67,3007280,760195542.8
10,TQBR,2024-11-15,252.84,3068810,771626819.0
11,TQBR,2024-11-18,248.59,3789070,946402547.8
12,TQBR,2024-11-19,240.9,6021210,1471881714.8
