SECID,REGNUMBER,LOTSIZE,SHORTNAME
ABIO,1-01-08902-A,10,iАРТГЕН ао
ABRD,1-02-12500-A,10,АбрауДюрсо
ACKO,1-01-52065-Z,100,АСКО ао
AFKS,1-05-01669-A,100,Система ао
AFLT,1-01-00010-A,10,Аэрофлот
AGRO,,1,AGRO-гдр
AKRN,1-03-00207-A,1,Акрон
ALRS,1-03-40046-N,10,АЛРОСА ао
AMEZ,1-03-45219-D,100,АшинскийМЗ
APRI,1-01-12464-K,10,АПРИ
APTK,1-01-07335-A,10,Аптеки36и6
AQUA,1-01-04461-D,1,ИНАРКТИКА
ARSA,1-01-03163-D,100,Арсагера
ASSB,1-01-55064-E,1000,АстрЭнСб
ASTR,1-01-01286-G,1,Астра ао
AVAN,10102879B,1,Авангрд-ао
BANE,1-01-00013-A,1,Башнефт ао
BANEP,2-01-00013-A,1,Башнефт ап
BELU,1-01-55052-E,1,НоваБев ао
BISVP,2-01-00011-A,100,БашИнСв ап
BLNG,1-06-10167-F,100,Белон ао
BRZL,1-06-20577-F,1,БурЗолото
BSPB,10300436B,10,БСП ао
BSPBP,20100436B,100,БСП ап
CARM,1-01-03536-G,100,СТГ
CBOM,10101978B,100,МКБ ао
CHGZ,1-01-00185-A,10,РН-ЗапСиб
CHKZ,1-03-45058-D,1,ЧКПЗ ао
CHMF,1-02-00143-A,1,СевСт-ао
CHMK,1-01-00080-A,1,ЧМК ао
CIAN,,1,CIAN-адр
CNRU,1-01-16918-A,1,ЦИАН
CNTL,1-03-00327-A,100,Телеграф
CNTLP,2-03-00327-A,100,Телеграф-п
DATA,1-01-87685-H,1,iАренадата
DELI,1-01-16750-A,1,iКаршеринг
DIAS,1-01-84777-H,1,iДиасофт
DIOD,1-03-06923-A,100,ЗаводДИОД
DVEC,1-01-55275-E,1000,ДЭК ао
DZRD,1-01-02677-A,1,ДонскЗР
DZRDP,2-01-02677-A,1,ДонскЗР п
EELT,1-01-83993-H,10,ЕвроЭлтех
ELFV,1-01-50077-A,1000,ЭЛ5Энер ао
ELMT,1-01-16673-A,1000,Элемент
ENPG,1-01-16625-A,1,ЭН+ГРУП ао
ETLN,,1,ETLN-гдр
EUTR,1-01-80110-H,1,ЕвроТранс
FEES,1-01-65018-D,10000,Россети
FESH,1-03-00032-A,10,ДВМП ао
FIXP,,1,FIXP-гдр
FLOT,1-01-10613-A,10,Совкомфлот
GAZA,1-01-00029-A,10,ГАЗ ао
GAZAP,2-02-00029-A,10,ГАЗ ап
GAZC,1-01-09870-A,10,ГАЗКОН-ао
GAZP,1-02-00028-A,10,ГАЗПРОМ ао
GAZS,1-01-09871-A,10,ГАЗ-сервис
GAZT,1-01-12996-A,10,ГАЗ-Тек ао
GCHE,1-02-10797-A,1,ЧеркизГ-ао
GECO,1-01-87198-H,10,iГЕНЕТИКО
GEMA,1-01-85932-H,10,iММЦБ ао
GEMC,1-01-16774-A,1,МКПАО ЮМГ
GMKN,1-01-40155-F,10,ГМКНорНик
GTRK,1-01-84907-H,10,ГТМ ао
HEAD,1-01-16755-A,1,Хэдхантер
HIMCP,2-01-55076-D,100,Химпром ап
HNFG,1-01-03109-G,1,ХЭНДЕРСОН
HYDR,1-01-55038-E,1000,РусГидро
IGST,1-02-30078-D,1,Ижсталь2ао
IGSTP,2-02-30078-D,1,Ижсталь ап
INGR,1-01-50020-A,1,ИНГРАД ао
IRAO,1-04-33498-E,100,ИнтерРАОао
IRKT,1-03-00040-A,100,Яковлев-3
IVAT,1-01-10876-P,1,iИВА
JNOS,1-01-00199-A,100,Славн-ЯНОС
JNOSP,2-01-00199-A,100,Слав-ЯНОСп
KAZT,1-01-00067-A,10,Куйбазот
KAZTP,2-01-00067-A,10,Куйбазот-п
KBSB,1-01-55218-E,10,ТНСэКубань
KCHE,1-02-00235-A,10000,КамчатЭ ао
KCHEP,2-02-00235-A,10000,КамчатЭ ап
KGKC,1-01-55226-E,10,КурганГКао
KGKCP,2-01-55226-E,10,КурганГКап
KLSB,1-01-65057-D,100,КалужскСК
KLVZ,1-01-05421-G,100,Кристалл
KMAZ,1-08-55010-D,10,КАМАЗ
KMEZ,1-02-05376-A,1,КМЗ
KOGK,1-01-20992-F,1,КоршГОК ао
KRKN,1-01-00248-A,1,СаратНПЗ
KRKNP,2-01-00248-A,1,СаратНПЗ-п
KRKOP,2-01-30301-E,100,ТКЗКК ап
KROT,1-02-00060-A,10,КрасОкт-ао
KROTP,2-01-00060-A,10,КрасОкт-1п
KRSB,1-01-55147-E,100,Красэсб ао
KRSBP,2-01-55147-E,100,Красэсб ап
KUZB,10100609B,10000,КузнецкийБ
KZOS,1-02-55245-D,10,ОргСинт ао
KZOSP,2-02-55245-D,10,ОргСинт ап
LEAS,1-01-16419-A,1,Европлан
LENT,1-01-16686-A,1,Лента ао
LIFE,1-02-09669-J,100,Фармсинтез
LKOH,1-01-00077-A,1,ЛУКОЙЛ
LMBZ,1-01-09188-H,1,Ламбумиз
LNZL,1-02-40433-N,1,Лензолото
LNZLP,2-02-40433-N,1,Лензол. ап
LPSB,1-01-65097-D,100,ЛЭСК ао
LSNG,1-01-00073-A,100,РСетиЛЭ
LSNGP,2-01-00073-A,10,РСетиЛЭ-п
LSRG,1-01-55234-E,1,ЛСР ао
LVHK,1-01-04329-D,100,Левенгук
MAGE,1-01-00254-A,100,МагадЭн ао
MAGEP,2-01-00254-A,100,МагадЭн ап
MAGN,1-03-00078-A,10,ММК
MBNK,10102268B,1,МТС Банк
MDMG,1-01-16802-A,1,MDMG-ао
MFGS,1-03-00149-A,10,Мегион-ао
MFGSP,2-03-00149-A,10,Мегион-ап
MGKL,1-01-11915-A,100,МГКЛ
MGNT,1-01-60525-P,1,Магнит ао
MGNZ,1-01-00283-A,1,СМЗ-ао
MGTS,1-05-00083-A,1,МГТС-5ао
MGTSP,2-04-00083-A,1,МГТС-4ап
MISB,1-01-50086-A,100,ТНСэнМарЭл
MISBP,2-01-50086-A,100,ТНСэМаЭл-п
MOEX,1-05-08443-H,10,МосБиржа
MRKC,1-01-10214-A,1000,РоссЦентр
MRKK,1-01-34747-E,10,Россети СК
MRKP,1-01-12665-E,10000,РСетиЦП ао
MRKS,1-01-12044-F,1000,РсетСиб ао
MRKU,1-01-32501-D,10000,Россети Ур
MRKV,1-01-04247-E,10000,РсетВол ао
MRKY,1-01-34956-E,10000,РоссЮг ао
MRKZ,1-01-03347-D,10000,РСетиСЗ ао
MRSB,1-01-55055-E,10000,МордЭнСб
MSNG,1-01-00085-A,1000,+МосЭнерго
MSRS,1-01-65116-D,1000,РСетиМР ао
MSTT,1-03-02472-A,10,Мостотрест
MTLR,1-01-55005-E,1,Мечел ао
MTLRP,2-01-55005-E,10,Мечел ап
MTSS,1-01-04715-A,10,МТС-ао
MVID,1-02-11700-A,1,М.видео
NAUK,1-01-04440-A,10,iНПОНаука
NFAZ,1-01-30520-D,10,НЕФАЗ
NKHP,1-03-35684-E,10,НКХП ао
NKNC,1-02-00096-A,10,НКНХ ао
NKNCP,2-02-00096-A,10,НКНХ ап
NKSH,1-02-55032-D,100,Нижкамшина
NLMK,1-01-00102-A,10,НЛМК ао
NMTP,1-01-30251-E,100,НМТП ао
NNSB,1-01-55072-E,1,ТНСэнНН ао
NNSBP,2-01-55072-E,1,ТНСэнНН ап
NSVZ,1-01-12689-A,10,iНаукаСвяз
NVTK,1-02-00268-E,1,Новатэк ао
OGKB,1-02-65105-D,1000,ОГК-2 ао
OKEY,,10,OKEY-гдр
OMZZP,2-01-30174-D,1,ОМЗ-ап
OZON,,1,OZON-адр
OZPH,1-01-10877-P,10,iОзонФарм
PAZA,1-02-00261-A,1,ПавлАвт ао
PHOR,1-02-06556-A,1,ФосАгро ао
PIKK,1-02-01556-A,1,ПИК ао
PLZL,1-01-55192-E,1,Полюс
PMSB,1-01-55084-E,10,ПермьЭнСб
PMSBP,2-01-55084-E,10,ПермьЭнС-п
POSI,1-01-85307-H,1,iПозитив
PRFN,1-01-45194-D,100,ЧЗПСН ао
PRMB,10103001B,1,Приморье
PRMD,1-01-01622-G,1,ПРОМОМЕД
